ids,ages,ageSds,positions,positionThicknesses,distTypes
Cb2,358.43,0.19,100.77943615257,0.315091210613599,G
Cb1,358.71,0.19,100.315091210614,0.315091210613599,G
D18,359.25,0.18,99.4195688225539,0.298507462686567,G
D16,360.57,0.73,97.2305140961857,1.2106135986733,G
D15,363.02,0.73,93.167495854063,1.2106135986733,G
D14,362.87,0.88,93.4162520729685,1.45936981757877,G
D13,364.08,2.22,91.4096185737977,3.681592039801,G
D10,373.68,1.49,75.4892205638474,2.47097844112769,G
D9,379.50,1.10,65.84,1.82,G
D8,389.21,1.25,49.7346600331675,2.07296849087894,G
D7,389.58,0.78,49.1210613598673,1.29353233830846,G
D6,396.55,2.05,37.5621890547264,3.39966832504146,G
D5,407.75,1.08,18.9883913764511,1.7910447761194,G
D4,405.44,1.08,22.8192371475954,1.7910447761194,G
D3,409.90,6.60,15.42,10.95,G
D2,413.40,6.60,9.62,10.95,G
D1,415.48,0.97,6.16915422885572,1.60862354892206,G
baseD,419.2,3.2,0,5.30679933665008,G
