GTS20_ids,age,error_2sig_nolambda,midpoint_Kaufmann,halfwidth_Kaufmann,midpoint_Becker,halfwidth_Becker,distTypes
Cb2,358.43,0.19,100.95421,0.42054,101.62000,0.37000,G
Cb1,358.71,0.19,100.35414,0.16477,100.94000,0.31000,G
D27,358.89,0.20,99.90163,0.11313,98.80,0.30000,G
D26,358.97,0.11,99.90163,0.11313,97.92,0.41000,G
D25,359.25,0.18,99.90163,0.11313,97.59,0.41000,G
D23,362.87,0.88,91.18587,5.24077,94.82,0.74000,G
D22,364.08,2.22,91.18587,5.24077,94.67,0.74000,G
D19,372.36,0.05,71.46722,0.57302,74.57,0.39000,G
D18,375.14,0.12,64.28115,0.83862,68.05,0.32000,G
D17,375.25,0.13,64.28115,0.83862,69.15,0.55000,G
D16,375.55,0.10,64.28115,0.83862,68.71,0.55000,G
D15,390.14,0.14,49.88933,0.97634,36.29,0.85000,G
D14,390.82,0.18,49.63356,0.71812,35.61,0.85000,G
D13,394.29,0.10,44.72972,1.01569,32.94,0.31000,G
D12,407.75,1.08,19.63996,1.06979,22.39,0.50000,G
D10,411.50,1.10,16.27072,6.01053,17.25,3.05000,G
D11,411.70,0.90,14.11146,3.85372,15.60,2.10000,G
D7,417.22,0.21,5.02189,0.86075,4.95,1.38000,G
D9,415.60,0.50,4.03817,2.63145,5.70,2.45000,G
D6,417.61,0.12,2.56259,5.77935,4.40,1.38000,G
D5,417.68,0.21,2.56259,5.77935,4.12,1.38000,G
D4,417.56,0.20,2.56259,5.77935,3.85,1.38000,G
D3,417.73,0.22,2.56259,5.77935,3.57,1.38000,G
D2,417.85,0.23,2.56259,5.77935,3.30,1.38000,G
D1,418.42,0.21,2.56259,5.77935,2.75,1.38000,G
D8,417.70,0.50,1.74807,2.47897,2.98,2.98000,G
baseD,419.20,3.20,0.00000,5.30679933665008,0.00000,5.30679933665008,G
