predictPositions,ids
105.0,baseNextZone
102.8,sandbergi
102.2,upper duplicata
101.3,lower duplicata
100.0,baseCb
100.0,sulcata
99.3,kockeli
98.6,Bi. costatus - kockeli Interregnum
97.0,praesulcata
95.8,ultimus
94.7,Bi. costatus
94.3,aculeatus
93.1,expansa
92.0,manca
90.9,styriacus
90.0,sigmoidalis
89.6,granulosus
88.7,trachytera
87.8,velifer
86.7,utahensis
85.6,marginifera
85.0,gracilis
84.4,rhomboidea
83.8,pectinata
83.2,prima
82.6,termini
82.0,crepida
81.4,minuta
80.8,platys
80.5,triangularis
80.2,subperlobata
80.1,ultima
79.2,linguiformis
78.3,bogartensis
77.2,winchelli
76.3,feisti
75.7,plana
75.1,proversa
74.4,housei
73.4,nonaginta
72.5,primus
71.4,punctata
71.1,nodosa
70.1,transitans
69.0,rugosa
68.6,rotundiloba
68.2,soluta
67.2,pristina
66.7,norrisi
66.5,dengleri
66.2,sagitta
65.8,disparilis
65.3,ectypus
64.8,hermanni
63.8,semialternans
61.8,ansatus
60.2,rhenanus - varcus
58.4,timorensis
56.5,hemiansatus
54.5,ensensis
53.1,eiflius
51.1,kockelianus
49.2,australis
46.8,pseudofoliatus
44.4,P. costatus
41.4,partitus
39.2,patulus
37.0,cooperi
34.8,serotinus
31.1,laticostatus
28.5,inversus
26.1,catharinae
25.0,nothoperbonus
22.2,gronbergi
19.6,excavatus (M114)
16.9,excavatus s. str.
14.2,kitabicus
13.6,serratus
12.0,profunda
10.9,irregularis
9.6,gilberti
8.5,pandora beta
8.0,kutscheri
7.4,trigonicus
6.7,eleanorae
6.0,transitans
5.1,eoeleanorae
4.5,carlsi
3.8,omoalpha
2.3,postwoschmidti
0.0,hesperius
0.0,baseD
-2.9,detortus
-6.2,eost. s.l. I.Z.
-6.8,crispa
-8.1,latialata/snajdri I.Z.
-9.4,siluricus
-10.1,ploeckensis
