predictPositions,ids
102.1,baseNextZone
100.5,lower duplicata
100.0,baseCb
100.0,sulcata
99.8,upper praesulcata
98.0,middle praesulcata
96.4,lower praesulcata
95.0,upper expansa
94.6,middle expansa
93.2,lower expansa
92.0,upper postera
91.5,lower postera
91.2,upper trachytera
90.9,lower trachytera
85.9,uppermost marginifera
84.6,upper marginifera
82.8,lower marginifera
81.1,upper rhomboidea
79.8,lower rhomboidea
79.2,uppermost crepida
78.8,upper crepida
77.6,middle crepida
76.6,lower crepida
74.9,upper triangularis
73.9,middle triangularis
73.2,lower triangularis
70.9,Zone 13
69.3,Zone 12
65.7,Zone 11
65.2,Zone 10
65.0,Zone 9
64.2,Zone 8
63.4,Zone 7
63.1,Zone 6
62.4,Zone 5
61.5,Zone 4
61.1,Zone 3
60.4,Zone 2
59.8,Zone 1
59.6,norrisi
59.0,upper disparilis
58.1,lower disparilis
57.6,upper hermanni
57.4,lower hermanni
57.0,latifossatus
55.2,ansatus
54.2,rhenanus
52.7,timorensis
52.4,hemiansatus
52.0,ensensis
51.8,eiflius
50.9,kockelianus
50.4,australis
47.5,costatus
45.7,partitus
41.7,patulus
32.1,serotinus
22.8,laticostatus/inversus
18.6,gronbergi
17.5,dehiscens
15.7,kitabicus sulcatus mu
12.2,kindlei
11.3,sulcatus chi lambda
10.2,irregularis
8.4,gilberti
6.7,pandora beta
5.9,alexii
5.1,trigonicus
4.8,eleanorae
4.2,omoalpha
2.4,sexidentata
1.4,eurekaensis
0.0,baseD
-0.7,hesperius
-3.0,detortus
-4.6,eost. s.l. I.Z.
-5.0,crispa
-6.0,snajdri I.Z.
-7.0,siluricus
-7.7,ploeckensis
