"","newPositions","0.025","0.5","0.975","ids"
"1",102.1,356.831405820456,358.025789863307,358.437260979691,"baseNextZone"
"2",100.5,358.441263685567,358.620406837265,358.783935834823,"lower duplicata"
"3",100,358.633926666489,358.863972466812,359.091185030281,"baseCb"
"4",100,358.633926666489,358.863972466812,359.091185030281,"sulcata"
"5",99.8,358.71819246249,358.954893854395,359.172045555312,"upper praesulcata"
"6",98,359.224875720751,359.757431883965,361.320817728281,"middle praesulcata"
"7",96.4,360.236112597574,361.595259618421,362.938909231835,"lower praesulcata"
"8",95,361.749767643638,363.00162189989,364.343664284981,"upper expansa"
"9",94.6,361.903524117091,363.17889882691,364.546221667331,"middle expansa"
"10",93.2,362.335258867122,363.751743880005,365.288810733225,"lower expansa"
"11",92,362.720576244561,364.251401384502,365.86264984673,"upper postera"
"12",91.5,362.899492404706,364.469995303627,366.086092809233,"lower postera"
"13",91.2,363.033411013898,364.588716656255,366.223071209466,"upper trachytera"
"14",90.9,363.156683108839,364.714524050377,366.369452791574,"lower trachytera"
"15",85.9,365.040942633813,366.816374465163,368.504451402571,"uppermost marginifera"
"16",84.6,365.595754082566,367.372824659882,369.002835366754,"upper marginifera"
"17",82.8,366.396821473483,368.118575771044,369.646997364157,"lower marginifera"
"18",81.1,367.182720652497,368.840243970472,370.267543020428,"upper rhomboidea"
"19",79.8,367.74629264932,369.382177886353,370.708354795085,"lower rhomboidea"
"20",79.2,368.020651634558,369.624242843987,370.920147795807,"uppermost crepida"
"21",78.8,368.216211142509,369.802003282262,371.032732791767,"upper crepida"
"22",77.6,368.848892358298,370.297246565413,371.379043059757,"middle crepida"
"23",76.6,369.393603705321,370.709407087628,371.659676987195,"lower crepida"
"24",74.9,370.430904851281,371.420331940949,372.011953619686,"upper triangularis"
"25",73.9,371.083954084625,371.912047402069,372.262513726913,"middle triangularis"
"26",73.2,371.583472653022,372.163993227098,372.401435879582,"lower triangularis"
"27",72.4,372.073889220004,372.317628524236,372.483040007469,"linguiformis"
"28",70.4,372.40422809464,372.813601947371,373.635733309554,"upper rhenana"
"29",66.4,373.561397625807,374.404240234243,374.994168749489,"lower rhenana"
"30",65.7,373.920545567007,374.680027927252,375.124023848926,"jamieae"
"31",65.1,374.328183843122,374.933351651768,375.24109612116,"upper hassi"
"32",63.4,375.243054732815,375.745109320254,377.762306129919,"lower hassi"
"33",62.4,375.677732243752,377.327178940992,379.861546540759,"punctata"
"34",61.5,376.534912992914,378.876894063701,381.199560587488,"transitans"
"35",61.1,377.100167231795,379.568663106152,381.681567796702,"upper falsiovalis"
"36",59.8,379.569167697931,381.91208721559,383.884821796796,"lower falsiovalis"
"37",58.1,381.933043763702,383.637901481512,385.275724766306,"disparilis"
"38",57.6,382.227400989556,383.949651199284,385.605699821312,"upper hermanni"
"39",57.4,382.323961714998,384.063040690362,385.723358154837,"lower hermanni"
"40",57,382.520756916323,384.30685041909,385.95414329501,"upper varcus"
"41",55.2,383.603975338877,385.393320690593,386.993226307278,"middle varcus"
"42",52.7,385.443030546086,387.355119434169,388.805551101137,"lower varcus"
"43",52.4,385.814849206242,387.710364776991,389.130789012518,"hemiansatus"
"44",52,386.359144906777,388.192518159532,389.516324507863,"ensensis"
"45",50.9,388.619373156045,389.742050602367,390.223777000803,"kockelianus"
"46",50.4,389.50524708988,390.137117415727,390.53517444617,"australis"
"47",47.5,390.963639708128,391.614074281396,392.60280034513,"costatus"
"48",45.7,391.909460375469,393.165606688531,394.166270239311,"partitus"
"49",41.7,394.602194850413,395.955146480067,397.806537439051,"patulus"
"50",32.1,398.907793828482,401.326270077766,403.908891865402,"serotinus"
"51",27,401.71988274046,404.187704905286,406.532223642786,"inversus"
"52",22.8,404.30436014008,406.529969975698,408.553766983766,"nothoperbonus"
"53",22.3,404.655086087076,406.851607224304,408.889627406299,"upper excavatus"
"54",18.6,406.600292426648,408.800899644361,411.001804051045,"middle excavatus"
"55",18,406.786524471462,409.020768433318,411.125639843259,"lower excavatus"
"56",15.7,407.980497068788,410.349396737481,412.444744063336,"kitabicus"
"57",13.9,409.542195018193,411.604347904259,413.560427624545,"pireneae"
"58",12.2,410.286326582485,412.333166238429,414.211912557516,"kindlei"
"59",10.2,411.563164009279,413.752464471157,415.65584460606,"sulcatus"
"60",6.7,414.508334440506,416.159427814832,417.057772683218,"pesavis"
"61",4.2,417.217126161614,417.676410684139,418.155166175998,"delta"
"62",1.4,418.107974088521,418.966519582172,420.495470661297,"eurekaensis"
"63",0,418.525371730304,420.022224069475,421.76766373916,"baseD"
"64",-0.7,419.036531124233,420.610963010574,422.075194948735,"postwoschmidti/woschmidti"
