predictPositions,ids
102.1,baseNextZone
100.5,lower duplicata
100.0,baseCb
100.0,sulcata
99.8,upper praesulcata
98.0,middle praesulcata
96.4,lower praesulcata
95.0,upper expansa
94.6,middle expansa
93.2,lower expansa
92.0,upper postera
91.5,lower postera
91.2,upper trachytera
90.9,lower trachytera
85.9,uppermost marginifera
84.6,upper marginifera
82.8,lower marginifera
81.1,upper rhomboidea
79.8,lower rhomboidea
79.2,uppermost crepida
78.8,upper crepida
77.6,middle crepida
76.6,lower crepida
74.9,upper triangularis
73.9,middle triangularis
73.2,lower triangularis
72.4,linguiformis
70.4,upper rhenana
66.4,lower rhenana
65.7,jamieae
65.1,upper hassi
63.4,lower hassi
62.4,punctata
61.5,transitans
61.1,upper falsiovalis
59.8,lower falsiovalis
58.1,disparilis
57.6,upper hermanni
57.4,lower hermanni
57.0,upper varcus
55.2,middle varcus
52.7,lower varcus
52.4,hemiansatus
52.0,ensensis
50.9,kockelianus
50.4,australis
47.5,costatus
45.7,partitus
41.7,patulus
32.1,serotinus
27.0,inversus
22.8,nothoperbonus
22.3,upper excavatus
18.6,middle excavatus
18.0,lower excavatus
15.7,kitabicus
13.9,pireneae
12.2,kindlei
10.2,sulcatus
6.7,pesavis
4.2,delta
1.4,eurekaensis
0.0,baseD
-0.7,postwoschmidti/woschmidti
