"","newPositions","0.025","0.5","0.975","ids"
"1",105.4,355.63747863068,357.206015274614,358.164428525309,"baseNextZone"
"2",102.1,358.359959046206,358.543491039383,358.715885959557,"duplicata"
"3",100,358.715949483014,358.939589209276,359.153133453582,"baseCb"
"4",100,358.715949483014,358.939589209276,359.153133453582,"sulcata"
"5",98.4,359.33061452362,359.94122976839,361.560564802657,"praesulcata"
"6",94.3,361.885619234428,363.655219183066,365.595821199231,"expansa"
"7",93.1,362.376642800589,364.266141211812,366.254165135287,"postera"
"8",91.2,363.242247297428,365.263121725392,367.297770032851,"trachytera"
"9",87,365.2718363116,367.410391353658,369.292171157935,"marginifera"
"10",85.3,366.208920560025,368.289255302769,370.025321835744,"rhomboidea"
"11",81.4,368.635023415673,370.284645850744,371.465838282798,"crepida"
"12",77.9,371.561771701129,372.137016731272,372.360740152258,"triangularis"
"13",76.5,372.154336696873,372.338118780558,372.453320816355,"linguiformis"
"14",70.7,373.242645139593,374.125620433318,374.852790134664,"rhenana"
"15",66.8,375.407725390805,375.919845976552,377.643778155986,"hassi"
"16",64.3,376.482221601891,378.264071246841,380.425912077561,"punctata"
"17",62.9,377.56826941991,379.538748330334,381.51354579011,"transitans"
"18",59.8,381.485786312923,383.030421248418,384.5752474211,"guanwushanensis (falsiovalis)"
"19",58.1,382.352270517896,383.979801299674,385.574707199388,"disparilis"
"20",56.7,383.058619413253,384.688397841968,386.258423125639,"hermanni"
"21",52.8,385.25055494729,386.896439944742,388.207503810829,"varcus"
"22",52.1,386.07122889085,387.720144442178,388.962532493365,"hemiansatus"
"23",51.4,387.307594281279,388.572100631493,389.564473360934,"ensensis"
"24",49.7,389.229122487889,390.020483523778,390.362510222892,"kockelianus"
"25",45.7,390.965743421648,391.568837466821,392.507496937213,"costatus"
"26",43,392.302940347052,393.463198276074,394.233834089302,"partitus"
"27",40.2,394.555628344982,395.877649413175,398.01843510821,"patulus"
"28",35.6,396.738534958357,399.137326377535,402.14690897872,"serotinus"
"29",30.4,399.994908623755,402.861954317072,405.92071387046,"inversus"
"30",25.9,403.334393799199,406.126645884452,408.749049869615,"nothoperbonus"
"31",24.2,404.621356671369,407.382652050558,409.82570642525,"gronbergi"
"32",21.7,406.919810813334,409.254015415083,411.482319018189,"excavatus"
"33",19.2,408.406119657,410.967214398541,413.015978626814,"kitabicus"
"34",17.6,409.742842053958,412.010454411461,413.997738917379,"pireneae"
"35",14.9,411.696396346477,413.819939104,415.949479894942,"kindlei"
"36",13,412.904583599512,415.11986248847,416.764289300057,"irregularis"
"37",12.1,413.606689289655,415.760242132919,416.957484563577,"gilberti"
"38",10.7,415.330472014457,416.758468315187,417.309208647036,"pandora beta"
"39",9.4,416.584047029773,417.399849842452,417.780277308783,"trigonicus"
"40",8.6,417.073005443712,417.570046023652,417.972607814491,"transitans"
"41",7.7,417.355400241897,417.744137264001,418.220115210462,"eleanorae"
"42",6.3,417.709331336267,418.117616271166,419.051534934135,"omoalpha"
"43",3.2,418.124688198494,418.910416355072,420.461130486943,"postwoschmidti"
"44",0,418.888686494685,420.510327202885,422.205050927997,"hesperius"
"45",0,418.888686494685,420.510327202885,422.205050927997,"baseD"
"46",-3.6,420.714350260463,422.036558391259,422.735388404382,"detortus"
"47",-6.3,422.38213946078,422.916750116526,423.378030625067,"eost. s.l. I.Z."
"48",-7,422.88718720853,423.182088308907,423.751671225991,"crispa"
"49",-8.5,423.205299256796,423.749995539454,424.276203533573,"snajdri I.Z."
"50",-10.1,423.887199725384,424.493963836501,425.664298989502,"siluricus"
"51",-11.3,424.172791602155,425.085297372906,426.625499034254,"ploeckensis"
