"","newPositions","0.025","0.5","0.975","ids"
"1",102.1,356.831405820456,358.025789863307,358.437260979691,"baseNextZone"
"2",100.5,358.441263685567,358.620406837265,358.783935834823,"lower duplicata"
"3",100,358.633926666489,358.863972466812,359.091185030281,"baseCb"
"4",100,358.633926666489,358.863972466812,359.091185030281,"sulcata"
"5",99.8,358.71819246249,358.954893854395,359.172045555312,"upper praesulcata"
"6",98,359.224875720751,359.757431883965,361.320817728281,"middle praesulcata"
"7",96.4,360.236112597574,361.595259618421,362.938909231835,"lower praesulcata"
"8",95,361.749767643638,363.00162189989,364.343664284981,"upper expansa"
"9",94.6,361.903524117091,363.17889882691,364.546221667331,"middle expansa"
"10",93.2,362.335258867122,363.751743880005,365.288810733225,"lower expansa"
"11",92,362.720576244561,364.251401384502,365.86264984673,"upper postera"
"12",91.5,362.899492404706,364.469995303627,366.086092809233,"lower postera"
"13",91.2,363.033411013898,364.588716656255,366.223071209466,"upper trachytera"
"14",90.9,363.156683108839,364.714524050377,366.369452791574,"lower trachytera"
"15",85.9,365.040942633813,366.816374465163,368.504451402571,"uppermost marginifera"
"16",84.6,365.595754082566,367.372824659882,369.002835366754,"upper marginifera"
"17",82.8,366.396821473483,368.118575771044,369.646997364157,"lower marginifera"
"18",81.1,367.182720652497,368.840243970472,370.267543020428,"upper rhomboidea"
"19",79.8,367.74629264932,369.382177886353,370.708354795085,"lower rhomboidea"
"20",79.2,368.020651634558,369.624242843987,370.920147795807,"uppermost crepida"
"21",78.8,368.216211142509,369.802003282262,371.032732791767,"upper crepida"
"22",77.6,368.848892358298,370.297246565413,371.379043059757,"middle crepida"
"23",76.6,369.393603705321,370.709407087628,371.659676987195,"lower crepida"
"24",74.9,370.430904851281,371.420331940949,372.011953619686,"upper triangularis"
"25",73.9,371.083954084625,371.912047402069,372.262513726913,"middle triangularis"
"26",73.2,371.583472653022,372.163993227098,372.401435879582,"lower triangularis"
