"","ids","y0","x0","y.rescale"
"1","baseNextZone",102.1,358.025789863307,101.370514332148
"2","lower duplicata",100.5,358.620406837265,100.398254729598
"3","baseCb",100,358.863972466812,100
"4","sulcata",100,358.863972466812,100
"5","upper praesulcata",99.8,358.954893854395,99.8513342268627
"6","middle praesulcata",98,359.757431883965,98.5391024207863
"7","lower praesulcata",96.4,361.595259618421,95.5340660008499
"8","upper expansa",95,363.00162189989,93.2345197505658
"9","middle expansa",94.6,363.17889882691,92.9446538332542
"10","lower expansa",93.2,363.751743880005,92.0079935493451
"11","upper postera",92,364.251401384502,91.1910023970411
"12","lower postera",91.5,364.469995303627,90.8335789694635
"13","upper trachytera",91.2,364.588716656255,90.6394574085683
"14","lower trachytera",90.9,364.714524050377,90.4337494446781
"15","uppermost marginifera",85.9,366.816374465163,86.9970089236429
"16","upper marginifera",84.6,367.372824659882,86.0871559109468
"17","lower marginifera",82.8,368.118575771044,84.8677765277572
"18","upper rhomboidea",81.1,368.840243970472,83.687775169777
"19","lower rhomboidea",79.8,369.382177886353,82.8016577585047
"20","uppermost crepida",79.2,369.624242843987,82.4058567810556
"21","upper crepida",78.8,369.802003282262,82.1152002733625
"22","middle crepida",77.6,370.297246565413,81.3054268246888
"23","lower crepida",76.6,370.709407087628,80.6315021924198
"24","upper triangularis",74.9,371.420331940949,79.4690673047465
"25","middle triangularis",73.9,371.912047402069,78.6650622061138
"26","lower triangularis",73.2,372.163993227098,78.2531049993156
"27","Zone 13",70.9,372.601951613018,77.5369982198648
"28","Zone 12",69.3,373.263803616573,76.4548024634277
"29","Zone 11",65.7,374.680027927252,74.1391307861535
"30","Zone 10",65.2,374.88531705187,73.8034620591402
"31","Zone 9",65,374.98108305938,73.6468748366469
"32","Zone 8",64.2,375.287637216695,73.1456274182181
"33","Zone 7",63.4,375.745109320254,72.397613713491
"34","Zone 6",63.1,376.150053669348,71.7354882627429
"35","Zone 5",62.4,377.327178940992,69.8107679824913
"36","Zone 4",61.5,378.876894063701,67.2768251667657
"37","Zone 3",61.1,379.568663106152,66.1457119901728
"38","Zone 2",60.4,380.967871003485,63.857863890094
"39","Zone 1",59.8,381.91208721559,62.313973756938
"40","norrisi",59.6,382.187743865232,61.8632469254492
"41","upper disparilis",59,382.942034761377,60.6299041198946
"42","lower disparilis",58.1,383.637901481512,59.4920908209526
"43","upper hermanni",57.6,383.949651199284,58.9823481294891
"44","lower hermanni",57.4,384.063040690362,58.7969447078615
"45","latifossatus",57,384.30685041909,58.3982908511239
"46","ansatus",55.2,385.393320690593,56.6218007732809
"47","rhenanus",54.2,385.998677290844,55.6319807827035
"48","timorensis",52.7,387.355119434169,53.4140590668608
"49","hemiansatus",52.4,387.710364776991,52.8331965773157
"50","ensensis",52,388.192518159532,52.0448264556939
"51","eiflius",51.8,388.456017230909,51.6139785088151
"52","kockelianus",50.9,389.742050602367,49.5111823402578
"53","australis",50.4,390.137117415727,48.8652076712522
"54","costatus",47.5,391.614074281396,46.4502320515036
"55","partitus",45.7,393.165606688531,43.9133177897691
"56","patulus",41.7,395.955146480067,39.3521347630553
"57","serotinus",32.1,401.326270077766,30.5697980268856
"58","laticostatus/inversus",22.8,406.529969975698,22.0612161731415
"59","gronbergi",18.6,408.800899644361,18.3480137692895
"60","dehiscens",17.5,409.20408560311,17.6887634667007
"61","kitabicus sulcatus mu",15.7,410.349396737481,15.8160625565904
"62","kindlei",12.2,412.333166238429,12.5723964134897
"63","sulcatus chi lambda",11.3,412.863331775492,11.7055215059012
"64","irregularis",10.2,413.752464471157,10.2516985590952
"65","gilberti",8.4,415.118251260261,8.0184973911189
"66","pandora beta",6.7,416.159427814832,6.31606717559418
"67","alexii",5.9,416.723120333901,5.39437222144136
"68","trigonicus",5.1,417.345453598058,4.37679364807173
"69","eleanorae",4.8,417.466364135798,4.17909254548692
"70","omoalpha",4.2,417.676410684139,3.83564494383472
"71","sexidentata",2.4,418.513163195795,2.46746895821025
"72","eurekaensis",1.4,418.966519582172,1.72618487225884
"73","baseD",0,420.022224069475,0
"74","hesperius",-0.7,420.610963010574,-0.962648417296009
"75","detortus",-3,422.02599830844,-3.27637593694487
"76","eost. s.l. I.Z.",-4.6,422.908667021302,-4.71962961037525
"77","crispa",-5,423.144006127634,-5.10443313265557
"78","snajdri I.Z.",-6,423.741300995583,-6.08107136592196
"79","siluricus",-7,424.372544643231,-7.11321932814587
"80","ploeckensis",-7.7,424.727190083928,-7.69310091632542
