"","ids","y0","x0","y.rescale"
"1","baseNextZone",102.1,358.025789863307,101.370514332148
"2","lower duplicata",100.5,358.620406837265,100.398254729598
"3","baseCb",100,358.863972466812,100
"4","sulcata",100,358.863972466812,100
"5","upper praesulcata",99.8,358.954893854395,99.8513342268627
"6","middle praesulcata",98,359.757431883965,98.5391024207863
"7","lower praesulcata",96.4,361.595259618421,95.5340660008499
"8","upper expansa",95,363.00162189989,93.2345197505658
"9","middle expansa",94.6,363.17889882691,92.9446538332542
"10","lower expansa",93.2,363.751743880005,92.0079935493451
"11","upper postera",92,364.251401384502,91.1910023970411
"12","lower postera",91.5,364.469995303627,90.8335789694635
"13","upper trachytera",91.2,364.588716656255,90.6394574085683
"14","lower trachytera",90.9,364.714524050377,90.4337494446781
"15","uppermost marginifera",85.9,366.816374465163,86.9970089236429
"16","upper marginifera",84.6,367.372824659882,86.0871559109468
"17","lower marginifera",82.8,368.118575771044,84.8677765277572
"18","upper rhomboidea",81.1,368.840243970472,83.687775169777
"19","lower rhomboidea",79.8,369.382177886353,82.8016577585047
"20","uppermost crepida",79.2,369.624242843987,82.4058567810556
"21","upper crepida",78.8,369.802003282262,82.1152002733625
"22","middle crepida",77.6,370.297246565413,81.3054268246888
"23","lower crepida",76.6,370.709407087628,80.6315021924198
"24","upper triangularis",74.9,371.420331940949,79.4690673047465
"25","middle triangularis",73.9,371.912047402069,78.6650622061138
"26","lower triangularis",73.2,372.163993227098,78.2531049993156
"27","linguiformis",72.4,372.317628524236,78.0018955662265
"28","upper rhenana",70.4,372.813601947371,77.1909282639607
"29","lower rhenana",66.4,374.404240234243,74.5900718869567
"30","jamieae",65.7,374.680027927252,74.1391307861535
"31","upper hassi",65.1,374.933351651768,73.7249205726866
"32","lower hassi",63.4,375.745109320254,72.397613713491
"33","punctata",62.4,377.327178940992,69.8107679824913
"34","transitans",61.5,378.876894063701,67.2768251667657
"35","upper falsiovalis",61.1,379.568663106152,66.1457119901728
"36","lower falsiovalis",59.8,381.91208721559,62.313973756938
"37","disparilis",58.1,383.637901481512,59.4920908209526
"38","upper hermanni",57.6,383.949651199284,58.9823481294891
"39","lower hermanni",57.4,384.063040690362,58.7969447078615
"40","upper varcus",57,384.30685041909,58.3982908511239
"41","middle varcus",55.2,385.393320690593,56.6218007732809
"42","lower varcus",52.7,387.355119434169,53.4140590668608
"43","hemiansatus",52.4,387.710364776991,52.8331965773157
"44","ensensis",52,388.192518159532,52.0448264556939
"45","kockelianus",50.9,389.742050602367,49.5111823402578
"46","australis",50.4,390.137117415727,48.8652076712522
"47","costatus",47.5,391.614074281396,46.4502320515036
"48","partitus",45.7,393.165606688531,43.9133177897691
"49","patulus",41.7,395.955146480067,39.3521347630553
"50","serotinus",32.1,401.326270077766,30.5697980268856
"51","inversus",27,404.187704905286,25.8910592589588
"52","nothoperbonus",22.8,406.529969975698,22.0612161731415
"53","upper excavatus",22.3,406.851607224304,21.5353063569228
"54","middle excavatus",18.6,408.800899644361,18.3480137692895
"55","lower excavatus",18,409.020768433318,17.9885057990736
"56","kitabicus",15.7,410.349396737481,15.8160625565904
"57","pireneae",13.9,411.604347904259,13.7640889734801
"58","kindlei",12.2,412.333166238429,12.5723964134897
"59","sulcatus",10.2,413.752464471157,10.2516985590952
"60","pesavis",6.7,416.159427814832,6.31606717559418
"61","delta",4.2,417.676410684139,3.83564494383472
"62","eurekaensis",1.4,418.966519582172,1.72618487225884
"63","baseD",0,420.022224069475,0
"64","postwoschmidti/woschmidti",-0.7,420.610963010574,-0.962648417296009
